file,workspace,domain,layer,risk_level,duplication_risk,security_critical,performance_critical,review_status,owner,notes
apps/cli/src/cli-parser.test.ts,apps/cli,cli-test,transport,low,low,no,no,reviewed,cli-maintainers,contract:transport-service-boundary;loc=107
apps/cli/src/cli-parser.ts,apps/cli,cli,transport,low,low,no,no,reviewed,cli-maintainers,contract:transport-service-boundary;loc=208
apps/cli/src/commands/describe-runner.ts,apps/cli,cli-commands,transport,low,medium,no,no,reviewed,cli-maintainers,contract:transport-service-boundary;loc=27
apps/cli/src/commands/get-runners.ts,apps/cli,cli-commands,transport,low,medium,no,no,reviewed,cli-maintainers,contract:transport-service-boundary;loc=40
apps/cli/src/commands/logs-runner.ts,apps/cli,cli-commands,transport,low,medium,no,no,reviewed,cli-maintainers,contract:transport-service-boundary;loc=53
apps/cli/src/commands/output.ts,apps/cli,cli-commands,transport,low,medium,no,no,reviewed,cli-maintainers,contract:transport-service-boundary;loc=61
apps/cli/src/commands/pair-runner.ts,apps/cli,cli-commands,transport,low,medium,no,no,reviewed,cli-maintainers,contract:transport-service-boundary;loc=22
apps/cli/src/commands/reset.ts,apps/cli,cli-commands,transport,low,medium,no,no,reviewed,cli-maintainers,contract:transport-service-boundary;loc=14
apps/cli/src/commands/start-runner.ts,apps/cli,cli-commands,transport,low,medium,no,no,reviewed,cli-maintainers,contract:transport-service-boundary;loc=21
apps/cli/src/commands/stop-runner.ts,apps/cli,cli-commands,transport,low,medium,no,no,reviewed,cli-maintainers,contract:transport-service-boundary;loc=17
apps/cli/src/commands/sync-runners.ts,apps/cli,cli-commands,transport,low,medium,no,no,reviewed,cli-maintainers,contract:transport-service-boundary;loc=51
apps/cli/src/commands/unpair-runner.ts,apps/cli,cli-commands,transport,low,medium,no,no,reviewed,cli-maintainers,contract:transport-service-boundary;loc=15
apps/cli/src/index.ts,apps/cli,cli,transport,low,low,no,no,reviewed,cli-maintainers,contract:transport-service-boundary;loc=112
apps/cli/src/runtime/control-plane.test.ts,apps/cli,cli-runtime-test,runtime,high,low,no,yes,reviewed,cli-maintainers,contract:runtime-lifecycle;loc=93
apps/cli/src/runtime/control-plane.ts,apps/cli,cli-runtime,runtime,high,low,no,yes,reviewed,cli-maintainers,contract:runtime-lifecycle;loc=197
apps/cli/src/runtime/process.test.ts,apps/cli,cli-runtime-test,runtime,high,low,no,yes,reviewed,cli-maintainers,contract:runtime-lifecycle;loc=26
apps/cli/src/runtime/process.ts,apps/cli,cli-runtime,runtime,high,low,no,yes,reviewed,cli-maintainers,contract:runtime-lifecycle;loc=97
